"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Source","EID"
"Cheng Y.; Du W.; Dai S.; Ji C.; Collu M.; Cocard M.; Cui L.; Yuan Z.; Incecik A.","Cheng, Yong (55487738000); Du, Weiming (57480516800); Dai, Saishuai (56849824000); Ji, Chunyan (26867833600); Collu, Maurizio (25924785400); Cocard, Margot (57209099651); Cui, Lin (57199474268); Yuan, Zhiming (56050831400); Incecik, Atilla (7003453599)","55487738000; 57480516800; 56849824000; 26867833600; 25924785400; 57209099651; 57199474268; 56050831400; 7003453599","Hydrodynamic characteristics of a hybrid oscillating water column-oscillating buoy wave energy converter integrated into a π-type floating breakwater","2022","Renewable and Sustainable Energy Reviews","161","","112299","","","","7","10.1016/j.rser.2022.112299","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125936793&doi=10.1016%2fj.rser.2022.112299&partnerID=40&md5=918b38d6fcc377a5389ee30c2edc5635","Article","Scopus","2-s2.0-85125936793"
"González-Ramírez X.; Guzmán-Cabrera R.; Hernández-Robles I.A.; Guzmán-Sepúlveda J.R.","González-Ramírez, Xiomara (57193736871); Guzmán-Cabrera, Rafael (56002744300); Hernández-Robles, Iván A. (57188961692); Guzmán-Sepúlveda, José R. (26867780300)","57193736871; 56002744300; 57188961692; 26867780300","Statistical technique to improve the wave potential estimation for the design of wave electric generators","2022","Energy Conversion and Management: X","14","","100220","","","","0","10.1016/j.ecmx.2022.100220","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127154509&doi=10.1016%2fj.ecmx.2022.100220&partnerID=40&md5=2b3a440c56d6f6d608d4d535bb242ae4","Article","Scopus","2-s2.0-85127154509"
"Wang Y.; Shi W.; Michailides C.; Wan L.; Kim H.; Li X.","Wang, Yapo (57217205759); Shi, Wei (57198923907); Michailides, Constantine (35366734800); Wan, Ling (56421226700); Kim, Hyungoo (57203629684); Li, Xin (55718335400)","57217205759; 57198923907; 35366734800; 56421226700; 57203629684; 55718335400","WEC shape effect on the motion response and power performance of a combined wind-wave energy converter","2022","Ocean Engineering","250","","111038","","","","42","10.1016/j.oceaneng.2022.111038","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126034910&doi=10.1016%2fj.oceaneng.2022.111038&partnerID=40&md5=d743c43b5e60e8ece3a74f3516257828","Article","Scopus","2-s2.0-85126034910"
"Penjiyev A.M.","Penjiyev, A.M. (57203910120)","57203910120","Wave Energy Resources of the Caspian Sea on the Coast of Turkmenistan","2022","Applied Solar Energy (English translation of Geliotekhnika)","58","2","","306","310","4","1","10.3103/S0003701X22020141","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142289949&doi=10.3103%2fS0003701X22020141&partnerID=40&md5=91b6f8fb7095461634a6fa63628af9da","Article","Scopus","2-s2.0-85142289949"
"Chang Z.; Deng C.; Feng Z.; Chen J.; Zheng Z.; Zhang Y.","Chang, Zongyu (7202170486); Deng, Chao (57209369204); Feng, Zhanxia (57203903930); Chen, Jia (57475510500); Zheng, Zhongqiang (54783839700); Zhang, Yang (55414757800)","7202170486; 57209369204; 57203903930; 57475510500; 54783839700; 55414757800","Performance analysis of wave-powered vehicle by active control of the hydrofoil","2022","Ocean Engineering","255","","111358","","","","1","10.1016/j.oceaneng.2022.111358","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129556445&doi=10.1016%2fj.oceaneng.2022.111358&partnerID=40&md5=80ab536051bd01cb64ff71bcde786364","Article","Scopus","2-s2.0-85129556445"
"Schubert B.W.; Robertson W.S.P.; Cazzolato B.S.; Sergiienko N.Y.; Ghayesh M.H.","Schubert, Benjamin W. (57212387161); Robertson, William S.P. (9734866100); Cazzolato, Benjamin S. (6603538173); Sergiienko, Nataliia Y. (57133039900); Ghayesh, Mergen H. (20435268200)","57212387161; 9734866100; 6603538173; 57133039900; 20435268200","Nonlinear stiffness enhancement of submerged wave energy device in high fidelity model","2022","Ocean Engineering","254","","111295","","","","3","10.1016/j.oceaneng.2022.111295","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129322714&doi=10.1016%2fj.oceaneng.2022.111295&partnerID=40&md5=809df14ce172cf1f3aa99b0e9bcbe416","Article","Scopus","2-s2.0-85129322714"
"Wang D.; Conley D.; Hann M.; Collins K.; Jin S.; Greaves D.","Wang, D. (57246099100); Conley, D. (56724698400); Hann, M. (55851687200); Collins, K. (52063145800); Jin, S. (57195493070); Greaves, D. (7102627638)","57246099100; 56724698400; 55851687200; 52063145800; 57195493070; 7102627638","Power output estimation of a RM3 WEC with HF radar measured complex representative sea states","2022","International Marine Energy Journal","5","1","","1","10","9","0","10.36688/imej.5.1-10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134428868&doi=10.36688%2fimej.5.1-10&partnerID=40&md5=6007734fa3953473074ef6824f720ba6","Article","Scopus","2-s2.0-85134428868"
"Liao Z.; Li S.; Paniagua-Arroyave J.F.; Liu Y.; Zou Q.","Liao, Zhiling (57218650068); Li, Shaowu (8290472200); Paniagua-Arroyave, Juan F. (57070506600); Liu, Ye (57191294434); Zou, Qingping (7103094244)","57218650068; 8290472200; 57070506600; 57191294434; 7103094244","Infragravity wave amplification by isolated topography: Field observations and semi-analytical modeling","2022","Applied Ocean Research","122","","103119","","","","3","10.1016/j.apor.2022.103119","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126027317&doi=10.1016%2fj.apor.2022.103119&partnerID=40&md5=985f5befa6ecbba69b3f66097e206777","Article","Scopus","2-s2.0-85126027317"
"Korde U.A.; Maa J.P.-Y.; Wilcox B.P.","Korde, Umesh A. (7004283169); Maa, Jerome P.-Y. (7004640274); Wilcox, Benjamin P. (57577478400)","7004283169; 7004640274; 57577478400","Effect of radar measurement uncertainties on time-domain impedance matching control of wave energy devices","2022","Journal of Ocean Engineering and Marine Energy","8","2","","233","246","13","0","10.1007/s40722-022-00230-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128272491&doi=10.1007%2fs40722-022-00230-5&partnerID=40&md5=8daa991298e82c89baa49bfc8b0372b0","Article","Scopus","2-s2.0-85128272491"
"He Z.; Ning D.; Gou Y.; Zhou Z.","He, Zechen (57214910626); Ning, Dezhi (7005820185); Gou, Ying (8392361300); Zhou, Zhimin (57449263300)","57214910626; 7005820185; 8392361300; 57449263300","Wave energy converter optimization based on differential evolution algorithm","2022","Energy","246","","123433","","","","7","10.1016/j.energy.2022.123433","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124477138&doi=10.1016%2fj.energy.2022.123433&partnerID=40&md5=04e2f11ce632125a7433931ce0375863","Article","Scopus","2-s2.0-85124477138"
