"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Source","EID"
"Mohapatra P.; Vijay K.G.; Bhattacharyya A.; Sahoo T.","Mohapatra, Piyush (57209112604); Vijay, K.G. (57193831401); Bhattacharyya, Anirban (56379615700); Sahoo, Trilochan (7004215371)","57209112604; 57193831401; 56379615700; 7004215371","Influence of distinct bottom geometries on the hydrodynamic performance of an OWC device","2023","Energy","277","","127605","","","","0","10.1016/j.energy.2023.127605","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153850987&doi=10.1016%2fj.energy.2023.127605&partnerID=40&md5=1c8691a2273d50a7e7306a0726723d4d","Article","Scopus","2-s2.0-85153850987"
"Hasan Maheen M.; Yang Y.","Hasan Maheen, Mahmodul (58234905100); Yang, Yingchen (14831842700)","58234905100; 14831842700","Wave energy converters with rigid hull encapsulation: A review","2023","Sustainable Energy Technologies and Assessments","57","","103273","","","","0","10.1016/j.seta.2023.103273","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158036364&doi=10.1016%2fj.seta.2023.103273&partnerID=40&md5=b3b2772563e2e7bfbdb17410534b8d02","Review","Scopus","2-s2.0-85158036364"
"Singh M.; Gayen R.","Singh, Mansi (57563814800); Gayen, R. (55200772300)","57563814800; 55200772300","Performance of two vertically submerged piezoelectric plate wave energy converters in presence of a non-flat flexible barrier","2023","Renewable Energy","212","","","382","393","11","0","10.1016/j.renene.2023.05.040","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159872240&doi=10.1016%2fj.renene.2023.05.040&partnerID=40&md5=d9d45f677a0dca1075474b51f4f101cb","Article","Scopus","2-s2.0-85159872240"
"Neary V.S.; Ahn S.","Neary, Vincent S. (6701367686); Ahn, Seongho (57205417583)","6701367686; 57205417583","Global atlas of extreme significant wave heights and relative risk ratios","2023","Renewable Energy","208","","","130","140","10","0","10.1016/j.renene.2023.03.079","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150799613&doi=10.1016%2fj.renene.2023.03.079&partnerID=40&md5=5cc8186a4837ca3000589ed7b20aeb56","Article","Scopus","2-s2.0-85150799613"
"den Bieman J.P.; de Ridder M.P.; Irías Mata M.; van Nieuwkoop J.C.C.","den Bieman, Joost P. (57103563600); de Ridder, Menno P. (57215542728); Irías Mata, Marisol (58069227900); van Nieuwkoop, Joana C.C. (55332408200)","57103563600; 57215542728; 58069227900; 55332408200","Hybrid modelling to improve operational wave forecasts by combining process-based and machine learning models","2023","Applied Ocean Research","136","","103583","","","","0","10.1016/j.apor.2023.103583","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158900388&doi=10.1016%2fj.apor.2023.103583&partnerID=40&md5=9927c4866e1a6304da9b288cfc1e2f95","Article","Scopus","2-s2.0-85158900388"
"Du X.; Du L.; Li P.; Liu X.; Han Y.; Yu H.; Tao K.; Tang L.","Du, Xiaozhen (8667204800); Du, Lixiang (57395198300); Li, Pengkai (58170889000); Liu, Xiaotong (58171689000); Han, Yi (57930458300); Yu, Hong (57192386543); Tao, Kai (57200201289); Tang, Lihua (34873882100)","8667204800; 57395198300; 58170889000; 58171689000; 57930458300; 57192386543; 57200201289; 34873882100","A dielectric elastomer and electret hybrid ocean wave power generator with oscillating water column","2023","Nano Energy","111","","108417","","","","0","10.1016/j.nanoen.2023.108417","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151679412&doi=10.1016%2fj.nanoen.2023.108417&partnerID=40&md5=b2392edfaed9a074cebbe6ffb8fedcf5","Article","Scopus","2-s2.0-85151679412"
"Wang N.; Chen Q.; Zhu L.","Wang, Nan (57497375500); Chen, Qin (8308841700); Zhu, Ling (56252448900)","57497375500; 8308841700; 56252448900","Data-driven modeling of Bay-Ocean wave spectra at bridge-tunnel crossing of Chesapeake Bay, USA","2023","Applied Ocean Research","135","","103537","","","","0","10.1016/j.apor.2023.103537","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150831705&doi=10.1016%2fj.apor.2023.103537&partnerID=40&md5=19d9929d523ef13bdb6db42e91298413","Article","Scopus","2-s2.0-85150831705"
"Rezaei S.; Rahimi A.; Parvizian J.; Mansoorzadeh S.","Rezaei, Saeed (57841132100); Rahimi, Amir (58183892100); Parvizian, Jamshid (6507867764); Mansoorzadeh, Shahriar (15739726900)","57841132100; 58183892100; 6507867764; 15739726900","Experimental and numerical study of a novel unidirectional mechanical power take-off system for two-body wave energy converters","2023","Energy Conversion and Management: X","19","","100385","","","","0","10.1016/j.ecmx.2023.100385","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153177331&doi=10.1016%2fj.ecmx.2023.100385&partnerID=40&md5=0acb1b9ac0e6d8ec4e4356348dd2e597","Article","Scopus","2-s2.0-85153177331"
"Cui Y.; Zhang F.; Chen Z.","Cui, Yingjie (57222477160); Zhang, Fei (57226767861); Chen, Zhongxian (55822692500)","57222477160; 57226767861; 55822692500","Predication of Ocean Wave Height for Ocean Wave Energy Conversion System","2023","Energies","16","9","3841","","","","0","10.3390/en16093841","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159372046&doi=10.3390%2fen16093841&partnerID=40&md5=5b7923207d75f217ccaa80a5718da426","Article","Scopus","2-s2.0-85159372046"
"Fan K.; Wang C.; Zhang Y.; Guo J.; Li R.; Wang F.; Tan Q.","Fan, Kangqi (9334619000); Wang, Chenyu (57222902257); Zhang, Yan (57226132178); Guo, Jiyuan (57226372285); Li, Rongchun (57682578200); Wang, Fei (56288548400); Tan, Qinxue (57201325169)","9334619000; 57222902257; 57226132178; 57226372285; 57682578200; 56288548400; 57201325169","Modeling and experimental verification of a pendulum-based low-frequency vibration energy harvester","2023","Renewable Energy","211","","","100","111","11","0","10.1016/j.renene.2023.04.136","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153801729&doi=10.1016%2fj.renene.2023.04.136&partnerID=40&md5=30ba453b8332c6fe2421c9befbd135b2","Article","Scopus","2-s2.0-85153801729"
"Chen Y.; Zhang D.; Li X.; Peng Y.; Wu C.; Pu H.; Zhou D.; Cao Y.; Zhang J.","Chen, Yaoran (57204566074); Zhang, Dan (57188659040); Li, Xiaowei (57901112100); Peng, Yan (57705140100); Wu, Chuhan (57200913734); Pu, Huayan (58176031600); Zhou, Dai (58175800800); Cao, Yong (57986470500); Zhang, Jiujun (58175800900)","57204566074; 57188659040; 57901112100; 57705140100; 57200913734; 58176031600; 58175800800; 57986470500; 58175800900","Significant wave height prediction through artificial intelligent mode decomposition for wave energy management","2023","Energy and AI","14","","100257","","","","1","10.1016/j.egyai.2023.100257","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152033495&doi=10.1016%2fj.egyai.2023.100257&partnerID=40&md5=46cf28f44333593f745ef8c3174bb9f4","Article","Scopus","2-s2.0-85152033495"
"Natarajan S.K.; Cho I.","Natarajan, Senthil Kumar (58249584800); Cho, Ilhyoung (36951775200)","58249584800; 36951775200","New Strategy on Power Absorption of a Concentric Two-Body Wave Energy Converter","2023","Energies","16","9","3791","","","","0","10.3390/en16093791","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159342234&doi=10.3390%2fen16093791&partnerID=40&md5=c17003dee8c9043545059d8e70b6a1da","Article","Scopus","2-s2.0-85159342234"
"Uddin M.N.; Atkinson M.; Opoku F.","Uddin, Mohammad Nasim (57406840500); Atkinson, Michael (36625043600); Opoku, Frimpong (57406840400)","57406840500; 36625043600; 57406840400","CFD Investigation of a Hybrid Wells Turbine with Passive Flow Control","2023","Energies","16","9","3851","","","","0","10.3390/en16093851","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159280875&doi=10.3390%2fen16093851&partnerID=40&md5=63b5939941de5a90d8db967e78482c66","Article","Scopus","2-s2.0-85159280875"
"Zhou B.; Zhang Q.; Hu J.; Jin P.; Zhang H.; Zheng S.","Zhou, Binzhen (7401906874); Zhang, Qi (57830997000); Hu, Jianjian (57214939210); Jin, Peng (57191201587); Zhang, Hengming (57204526759); Zheng, Siming (55553935700)","7401906874; 57830997000; 57214939210; 57191201587; 57204526759; 55553935700","Power performance of an asymmetric wave energy converter near a partial reflection wall","2023","Ocean Engineering","280","","114634","","","","0","10.1016/j.oceaneng.2023.114634","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153063398&doi=10.1016%2fj.oceaneng.2023.114634&partnerID=40&md5=e7076c91f04096122979bbc0bf22e917","Article","Scopus","2-s2.0-85153063398"
"Harding J.L.; Preston L.A.; Johnson E.; Roberts J.D.; Jones C.A.; Raghukumar K.; Hafla E.","Harding, Jennifer L. (58186101000); Preston, Leiph A. (7003573019); Johnson, Erick (35098910800); Roberts, Jesse D. (56925832200); Jones, Craig A. (55348782000); Raghukumar, Kaus (16200340400); Hafla, Erin (56009211000)","58186101000; 7003573019; 35098910800; 56925832200; 55348782000; 16200340400; 56009211000","Modeling the acoustic noise from a wave energy converter farm and its impact on marine mammals at the PacWave South site, offshore Newport Oregon","2023","Renewable Energy","209","","","677","688","11","0","10.1016/j.renene.2023.04.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152690245&doi=10.1016%2fj.renene.2023.04.014&partnerID=40&md5=0b44d4afdac5bf864b9d4db2471f5c97","Article","Scopus","2-s2.0-85152690245"
"Yu T.; Chen X.; Tang Y.; Wang J.; Wang Y.; Huang S.","Yu, Tongshun (56095891300); Chen, Xingyu (57954432100); Tang, Yuying (57210573454); Wang, Junrong (55356669800); Wang, Yuqiao (58259614900); Huang, Shuting (57190189757)","56095891300; 57954432100; 57210573454; 55356669800; 58259614900; 57190189757","Numerical modelling of wave run-up heights and loads on multi-degree-of-freedom buoy wave energy converters","2023","Applied Energy","344","","121255","","","","0","10.1016/j.apenergy.2023.121255","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159577467&doi=10.1016%2fj.apenergy.2023.121255&partnerID=40&md5=0a3a290282ba6b13275d2b9ff96c38cc","Article","Scopus","2-s2.0-85159577467"
"Tan J.; Polinder H.; Laguna A.J.; Miedema S.","Tan, Jian (57221523529); Polinder, Henk (6603815497); Laguna, Antonio Jarquin (57454893400); Miedema, Sape (6602853568)","57221523529; 6603815497; 57454893400; 6602853568","A wave-to-wire analysis of the adjustable draft point absorber wave energy converter coupled with a linear permanent-magnet generator","2023","Ocean Engineering","276","","114195","","","","1","10.1016/j.oceaneng.2023.114195","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150471306&doi=10.1016%2fj.oceaneng.2023.114195&partnerID=40&md5=8c28235c57d43728da5e414a8ac7520d","Article","Scopus","2-s2.0-85150471306"
"Kotb A.T.M.; Nawar M.A.A.; Attai Y.A.; Mohamed M.H.","Kotb, Ahmed T.M. (57209438724); Nawar, Mohamed A.A. (57201008588); Attai, Youssef A. (55687555100); Mohamed, Mohamed H. (55808584900)","57209438724; 57201008588; 55687555100; 55808584900","Performance optimization of a modified Wells turbine for wave energy conversion","2023","Ocean Engineering","280","","114849","","","","0","10.1016/j.oceaneng.2023.114849","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160530788&doi=10.1016%2fj.oceaneng.2023.114849&partnerID=40&md5=8c385afd14d27ab3bed1969e6b0d5779","Article","Scopus","2-s2.0-85160530788"
"Carrelhas A.A.D.; Gato L.M.C.; Henriques J.C.C.","Carrelhas, A.A.D. (57208272722); Gato, L.M.C. (7004360885); Henriques, J.C.C. (36173947400)","57208272722; 7004360885; 36173947400","Peak shaving control in OWC wave energy converters: From concept to implementation in the Mutriku wave power plant","2023","Renewable and Sustainable Energy Reviews","180","","113299","","","","0","10.1016/j.rser.2023.113299","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85154614861&doi=10.1016%2fj.rser.2023.113299&partnerID=40&md5=5421ddbb6836f1865a9941352f56ffaf","Article","Scopus","2-s2.0-85154614861"
"Rezaei S.; Rahimi A.; Parvizian J.; Mansoorzadeh S.; Düster A.","Rezaei, Saeed (57841132100); Rahimi, Amir (58183892100); Parvizian, Jamshid (6507867764); Mansoorzadeh, Shahriar (15739726900); Düster, Alexander (6508293028)","57841132100; 58183892100; 6507867764; 15739726900; 6508293028","A rectified unidirectional rotary PTO for two-body wave energy converters","2023","Ocean Engineering","279","","114507","","","","1","10.1016/j.oceaneng.2023.114507","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152525956&doi=10.1016%2fj.oceaneng.2023.114507&partnerID=40&md5=824e31359639073b9f7073b9a7ce1649","Article","Scopus","2-s2.0-85152525956"
"Zou S.; Robertson B.; Paudel S.","Zou, Shangyan (57191494965); Robertson, Bryson (56252010800); Paudel, Sanjaya (58199760900)","57191494965; 56252010800; 58199760900","Geospatial Analysis of Technical U.S. Wave Net Power Potential","2023","Renewable Energy","210","","","725","736","11","0","10.1016/j.renene.2023.04.060","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153798772&doi=10.1016%2fj.renene.2023.04.060&partnerID=40&md5=225488fee4ed32e3e16af9989612492b","Article","Scopus","2-s2.0-85153798772"
"Bernardino M.; Gonçalves M.; Campos R.M.; Guedes Soares C.","Bernardino, M. (36607402300); Gonçalves, M. (51863390400); Campos, R.M. (55861018800); Guedes Soares, C. (56978160800)","36607402300; 51863390400; 55861018800; 56978160800","Extremes and variability of wind and waves across the oceans until the end of the 21st century","2023","Ocean Engineering","275","","114081","","","","2","10.1016/j.oceaneng.2023.114081","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149946989&doi=10.1016%2fj.oceaneng.2023.114081&partnerID=40&md5=3661365160895fcba8530e438bc3d6e3","Article","Scopus","2-s2.0-85149946989"
"Zhang J.; Zhao X.; Greaves D.; Jin S.","Zhang, Jincheng (57196381039); Zhao, Xiaowei (55705171000); Greaves, Deborah (7102627638); Jin, Siya (57195493070)","57196381039; 55705171000; 7102627638; 57195493070","Modeling of a hinged-raft wave energy converter via deep operator learning and wave tank experiments","2023","Applied Energy","341","","121072","","","","0","10.1016/j.apenergy.2023.121072","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152273432&doi=10.1016%2fj.apenergy.2023.121072&partnerID=40&md5=2113c37c5f48a4f9432198617cd6b027","Article","Scopus","2-s2.0-85152273432"
"Huang P.; Zheng J.; Goh H.; Wang S.; Xu S.; Qin H.","Huang, Ping (57701318100); Zheng, Jinpao (57828822000); Goh, Huihwang (24075809200); Wang, Sen (57486734200); Xu, Shijie (58188546900); Qin, Honglin (58189073000)","57701318100; 57828822000; 24075809200; 57486734200; 58188546900; 58189073000","Investigation of the wave–photovoltaic-battery​ hybrid power generation platform's control strategy","2023","Energy Reports","9","","","687","697","10","0","10.1016/j.egyr.2023.04.144","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152949328&doi=10.1016%2fj.egyr.2023.04.144&partnerID=40&md5=5f5fe49dded0189f90d1fedc69180f27","Article","Scopus","2-s2.0-85152949328"
"Jain S.; Bora S.N.","Jain, Shilpi (58135842600); Bora, Swaroop Nandan (14420812800)","58135842600; 14420812800","Oblique water wave scattering by a floating bridge fitted with a rectangular porous structure and the resulting waveload mitigation","2023","Ocean Engineering","275","","114132","","","","0","10.1016/j.oceaneng.2023.114132","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149720211&doi=10.1016%2fj.oceaneng.2023.114132&partnerID=40&md5=6f9aae43b3d7c851719960529f9f9a98","Article","Scopus","2-s2.0-85149720211"
"de la Torre-Castro L.M.; Pascal R.C.R.; Perignon Y.; Babarit A.; Payne G.S.","de la Torre-Castro, L.M. (57205527504); Pascal, R.C.R. (15073133100); Perignon, Y. (36612307100); Babarit, A. (6505871520); Payne, G.S. (56192114700)","57205527504; 15073133100; 36612307100; 6505871520; 56192114700","Combined impact of power take-off capping and of wave resource description on wave energy converter performance","2023","Applied Ocean Research","134","","103494","","","","0","10.1016/j.apor.2023.103494","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149173622&doi=10.1016%2fj.apor.2023.103494&partnerID=40&md5=a9c705a9d2c157d3d659ad75ef851ca0","Article","Scopus","2-s2.0-85149173622"
"Meyer J.; Windt C.; Sinn P.; Hildebrandt A.","Meyer, Jannik (57215043086); Windt, Christian (56469469600); Sinn, Philipp (56525042900); Hildebrandt, Arndt (55211556800)","57215043086; 56469469600; 56525042900; 55211556800","On the mooring methodology of heaving point absorber arrays","2023","Ocean Engineering","281","","114659","","","","0","10.1016/j.oceaneng.2023.114659","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159359893&doi=10.1016%2fj.oceaneng.2023.114659&partnerID=40&md5=d1f720ffa0116eed6de5bd4d8932069c","Article","Scopus","2-s2.0-85159359893"
"Huang L.; Wei L.; Liu J.; Yang J.; Zhang X.","Huang, Lei (56440457800); Wei, Lai (57573041600); Liu, Jing (55940182500); Yang, Jianlong (57856341900); Zhang, Xiaoyu (57225103522)","56440457800; 57573041600; 55940182500; 57856341900; 57225103522","Research on an improved model predictive current control for direct-drive wave energy converters with linear generators","2023","IET Renewable Power Generation","17","7","","1670","1679","9","0","10.1049/rpg2.12702","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149447916&doi=10.1049%2frpg2.12702&partnerID=40&md5=d095c536207cce1019fa02fbe549c60d","Article","Scopus","2-s2.0-85149447916"
"Dallavalle E.; Zanuttigh B.; Contestabile P.; Giuggioli A.; Speranza D.","Dallavalle, Elisa (6507008579); Zanuttigh, Barbara (6603452469); Contestabile, Pasquale (36772880900); Giuggioli, Alessandro (6508207484); Speranza, Davide (57563611400)","6507008579; 6603452469; 36772880900; 6508207484; 57563611400","Improved methodology for the optimal mixing of renewable energy sources and application to a multi-use offshore platform","2023","Renewable Energy","210","","","575","590","15","0","10.1016/j.renene.2023.03.099","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153239209&doi=10.1016%2fj.renene.2023.03.099&partnerID=40&md5=0d670f74057c6272bca157b9694bb7cf","Article","Scopus","2-s2.0-85153239209"
"Majidi A.G.; Ramos V.; Amarouche K.; Rosa Santos P.; das Neves L.; Taveira-Pinto F.","Majidi, Ajab Gul (57221255566); Ramos, Victor (55620859800); Amarouche, Khalid (57205453111); Rosa Santos, Paulo (14067888200); das Neves, Luciana (15847687600); Taveira-Pinto, Francisco (56423223800)","57221255566; 55620859800; 57205453111; 14067888200; 15847687600; 56423223800","Assessing the impact of wave model calibration in the uncertainty of wave energy estimation","2023","Renewable Energy","212","","","415","429","14","0","10.1016/j.renene.2023.05.049","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159797399&doi=10.1016%2fj.renene.2023.05.049&partnerID=40&md5=7b7c8ba025ade598db9c81faf9d43c41","Article","Scopus","2-s2.0-85159797399"
"García Medina G.; Yang Z.; Li N.; Cheung K.F.; Lutu-McMoore E.","García Medina, Gabriel (55789622100); Yang, Zhaoqing (55914640400); Li, Ning (55596924400); Cheung, Kwok Fai (58176641500); Lutu-McMoore, Elinor (58197264800)","55789622100; 55914640400; 55596924400; 58176641500; 58197264800","Wave climate and energy resources in American Samoa from a 42-year high-resolution hindcast","2023","Renewable Energy","210","","","604","617","13","0","10.1016/j.renene.2023.03.031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153624468&doi=10.1016%2fj.renene.2023.03.031&partnerID=40&md5=599504da100bc7364024203abacd286f","Article","Scopus","2-s2.0-85153624468"
"Qu M.; Yu D.; Li Y.; Gao Z.","Qu, Ming (57226353118); Yu, Dingyong (7404666662); Li, Yufeng (58186889500); Gao, Zhiyang (57752635600)","57226353118; 7404666662; 58186889500; 57752635600","Effect of relative chamber width on energy conversion and mechanical characteristics of the offshore OWC device: A numerical study","2023","Energy","275","","127372","","","","0","10.1016/j.energy.2023.127372","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152729034&doi=10.1016%2fj.energy.2023.127372&partnerID=40&md5=8dfae274a7880e014787111baacfddcf","Article","Scopus","2-s2.0-85152729034"
"Guo P.; Zhang Y.; Chen W.","Guo, Peng (57807292600); Zhang, Yongliang (55739875300); Chen, Wenchuang (55993445500)","57807292600; 55739875300; 55993445500","Numerical analysis on a self-rectifying impulse turbine with U-shaped duct for oscillating water column wave energy conversion","2023","Energy","274","","127359","","","","0","10.1016/j.energy.2023.127359","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151467425&doi=10.1016%2fj.energy.2023.127359&partnerID=40&md5=2b5c71f4b1544a71c424f8d8b8faf51a","Article","Scopus","2-s2.0-85151467425"
"Nielsen A.F.","Nielsen, Alexaer F. (58125739900)","58125739900","Design Scour Levels for Dune Revetments and Seawalls","2023","Journal of Waterway, Port, Coastal and Ocean Engineering","149","3","04023005","","","","0","10.1061/JWPED5.WWENG-1963","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149272744&doi=10.1061%2fJWPED5.WWENG-1963&partnerID=40&md5=4127da35772a5b474c50ef754a853220","Article","Scopus","2-s2.0-85149272744"
"Clemente D.; Rosa-Santos P.; Taveira-Pinto F.","Clemente, D. (55890691500); Rosa-Santos, P. (14067888200); Taveira-Pinto, F. (56423223800)","55890691500; 14067888200; 56423223800","Numerical developments on the E-Motions wave energy converter: Hull design, power take-off tuning and mooring system configuration","2023","Ocean Engineering","280","","114596","","","","0","10.1016/j.oceaneng.2023.114596","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153221913&doi=10.1016%2fj.oceaneng.2023.114596&partnerID=40&md5=ca8586018d608ab4e9c31efae55f9880","Article","Scopus","2-s2.0-85153221913"
"Xu Q.; Shang C.; Ma H.; Hong Q.; Li C.; Ding S.; Xue L.; Sun X.; Pan Y.; Sugahara T.; Yalikun Y.; Lai Y.-C.; Yang Y.","Xu, Qingyue (57786106600); Shang, Chenjing (57788192000); Ma, Haoxiang (57222313407); Hong, Quan (58020513900); Li, Changzheng (57724788600); Ding, Su (57225066898); Xue, Liang (57786396700); Sun, Xin (57195316301); Pan, Yuanchao (58093822900); Sugahara, Tohru (58093936200); Yalikun, Yaxiaer (55822791200); Lai, Ying-Chih (55671698700); Yang, Yang (57763540000)","57786106600; 57788192000; 57222313407; 58020513900; 57724788600; 57225066898; 57786396700; 57195316301; 58093822900; 58093936200; 55822791200; 55671698700; 57763540000","A guided-liquid-based hybrid triboelectric nanogenerator for omnidirectional and high-performance ocean wave energy harvesting","2023","Nano Energy","109","","108240","","","","2","10.1016/j.nanoen.2023.108240","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147538195&doi=10.1016%2fj.nanoen.2023.108240&partnerID=40&md5=3341b7db222fb730a0ce10ce2df1a56d","Article","Scopus","2-s2.0-85147538195"
"Khatri P.; Liu Z.; Rudolph J.; Wang X.","Khatri, Pooja (57216586057); Liu, Zhenwei (57200533525); Rudolph, James (58156200600); Wang, Xu (11042535700)","57216586057; 57200533525; 58156200600; 11042535700","A study of a modified design of dumbbell-shaped flux switching tubular linear generator for regular wave energy conversion","2023","Renewable Energy","208","","","287","300","13","0","10.1016/j.renene.2023.03.087","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150791746&doi=10.1016%2fj.renene.2023.03.087&partnerID=40&md5=9239b7ee67b96e32be7d819efba47e87","Article","Scopus","2-s2.0-85150791746"
"Zhou B.; Zheng Z.; Zhang Q.; Jin P.; Wang L.; Ning D.","Zhou, Binzhen (7401906874); Zheng, Zhi (57557833100); Zhang, Qi (57830997000); Jin, Peng (57191201587); Wang, Lei (57196336310); Ning, Dezhi (7005820185)","7401906874; 57557833100; 57830997000; 57191201587; 57196336310; 7005820185","Wave attenuation and amplification by an abreast pair of floating parabolic breakwaters","2023","Energy","271","","127077","","","","2","10.1016/j.energy.2023.127077","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149250438&doi=10.1016%2fj.energy.2023.127077&partnerID=40&md5=cddc0c4ba4b942aec858b85182c93b88","Article","Scopus","2-s2.0-85149250438"
"Mahdavi-Meymand A.; Sulisz W.","Mahdavi-Meymand, Amin (56507239900); Sulisz, Wojciech (7004237458)","56507239900; 7004237458","Application of nested artificial neural network for the prediction of significant wave height","2023","Renewable Energy","209","","","157","168","11","0","10.1016/j.renene.2023.03.118","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151718563&doi=10.1016%2fj.renene.2023.03.118&partnerID=40&md5=530aac0cb1ca72cc9ca2f6cd2a8475c9","Article","Scopus","2-s2.0-85151718563"
"Del Pozo Gonzalez H.; Bianchi F.D.; Dominguez-Garcia J.L.; Gomis-Bellmunt O.","Del Pozo Gonzalez, Hector (57433701200); Bianchi, Fernando D. (55737397800); Dominguez-Garcia, Jose Luis (36650855300); Gomis-Bellmunt, Oriol (15836509300)","57433701200; 55737397800; 36650855300; 15836509300","Co-located wind-wave farms: Optimal control and grid integration","2023","Energy","272","","127176","","","","0","10.1016/j.energy.2023.127176","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150213036&doi=10.1016%2fj.energy.2023.127176&partnerID=40&md5=22de5e1fd1d1abc143191a356dac427b","Article","Scopus","2-s2.0-85150213036"
"Portillo J.C.C.; Gato L.M.C.; Henriques J.C.C.; Falcão A.F.O.","Portillo, J.C.C. (56970941300); Gato, L.M.C. (7004360885); Henriques, J.C.C. (36173947400); Falcão, A.F.O. (23485073200)","56970941300; 7004360885; 36173947400; 23485073200","Implications of spring-like air compressibility effects in floating coaxial-duct OWCs: Experimental and numerical investigation","2023","Renewable Energy","212","","","478","491","13","0","10.1016/j.renene.2023.04.143","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159864591&doi=10.1016%2fj.renene.2023.04.143&partnerID=40&md5=a3514be09621a8ed15d5af66f9212d1d","Article","Scopus","2-s2.0-85159864591"
"Ni C.; Peng W.","Ni, Chenhua (57203747586); Peng, Wei (58159880900)","57203747586; 58159880900","An integrated approach using empirical wavelet transform and a convolutional neural network for wave power prediction","2023","Ocean Engineering","276","","114231","","","","0","10.1016/j.oceaneng.2023.114231","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151042157&doi=10.1016%2fj.oceaneng.2023.114231&partnerID=40&md5=f04662a46b61e7241073c2fc2654ba6e","Article","Scopus","2-s2.0-85151042157"
"Wang L.; Wu S.; Huang T.; Chen W.","Wang, LiGuo (56835260800); Wu, ShiXuan (58072678800); Huang, TianHao (58180260600); Chen, WenChuang (55993445500)","56835260800; 58072678800; 58180260600; 55993445500","On improving the wave-to-wire efficiency of a two-body hinge-barge wave energy converter","2023","Ocean Engineering","278","","114388","","","","0","10.1016/j.oceaneng.2023.114388","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152281184&doi=10.1016%2fj.oceaneng.2023.114388&partnerID=40&md5=f76c4059be714f7a9aee354d4b4a1fbf","Article","Scopus","2-s2.0-85152281184"
"Kim J.-S.; Nam B.W.; Kim S.; Park J.; Park S.; Kim K.-H.","Kim, Jeong-Seok (52063364000); Nam, Bo Woo (19337613800); Kim, Sejun (58194084600); Park, Jiyong (52063832600); Park, Sewan (56911235100); Kim, Kyong-Hwan (57887376900)","52063364000; 19337613800; 58194084600; 52063832600; 56911235100; 57887376900","Experimental study on hydrodynamic behavior and energy conversion of multiple oscillating-water-column chamber in regular waves","2023","Ocean Engineering","280","","114495","","","","0","10.1016/j.oceaneng.2023.114495","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153381549&doi=10.1016%2fj.oceaneng.2023.114495&partnerID=40&md5=70804cdd4d24be0dc2cca66e747f715e","Article","Scopus","2-s2.0-85153381549"
