Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Liang, B., Fan, F., Liu, F., Gao, S., Zuo, H.","8696513600; 55617030500; 55769337600; 7403257768; 56198659600","22-Year wave energy hindcast for the China East Adjacent Seas",2014,"Renewable Energy",71,"",,200,207,,58,10.1016/j.renene.2014.05.027,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84902087343&partnerID=40&md5=ddcde0302b43d1cc7854a448d7eab95a",Article,Final,"",Scopus,2-s2.0-84902087343
"Guanche, R., de Andrés, A.D., Simal, P.D., Vidal, C., Losada, I.J.","22937826600; 55797765100; 55932592900; 7101664044; 7004024018","Uncertainty analysis of wave energy farms financial indicators",2014,"Renewable Energy",68,"",,570,580,,58,10.1016/j.renene.2014.02.046,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84896359651&partnerID=40&md5=19776b9e874e662ceb1ba1f578b6a769",Article,Final,"",Scopus,2-s2.0-84896359651
"Portilla, J., Sosa, J., Cavaleri, L.","57053542500; 55636148200; 7006397512","Wave energy resources: Wave climate and exploitation",2013,"Renewable Energy",57,"",,594,605,,58,10.1016/j.renene.2013.02.032,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84875630756&partnerID=40&md5=43861cb2356c7e92398e807ea498a49f",Article,Final,"",Scopus,2-s2.0-84875630756
"Liang, B., Fan, F., Yin, Z., Shi, H., Lee, D.","8696513600; 55617030500; 7401498766; 15023660400; 57212667314","Numerical modelling of the nearshore wave energy resources of Shandong peninsula, China",2013,"Renewable Energy",57,"",,330,338,,58,10.1016/j.renene.2013.01.052,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84874710750&partnerID=40&md5=9e1e086862a85277d9a6e4e8b9f098a2",Article,Final,"",Scopus,2-s2.0-84874710750
"Chong, H.-Y., Lam, W.-H.","35091031600; 23028104400","Ocean renewable energy in Malaysia: The potential of the Straits of Malacca",2013,"Renewable and Sustainable Energy Reviews",23,"",,169,178,,58,10.1016/j.rser.2013.02.021,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84875728979&partnerID=40&md5=6b726a099453b05d31a9fec45d7bc8e5",Review,Final,"All Open Access, Green",Scopus,2-s2.0-84875728979
"Nielsen, U.D., Stredulinsky, D.C.","57224792997; 6602317910","Sea state estimation from an advancing ship - A comparative study using sea trial data",2012,"Applied Ocean Research",34,"",,33,44,,58,10.1016/j.apor.2011.11.001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84855603226&partnerID=40&md5=9c6628f43dd734c9e2f1f8c48e332465",Article,Final,"",Scopus,2-s2.0-84855603226
"Wang, P., Wang, D., Zhang, X., Li, X., Peng, T., Lu, H., Tian, X.","57221237484; 57211399051; 56349192700; 55718311000; 57203752995; 57209823396; 55265504600","Numerical and experimental study on the maneuverability of an active propeller control based wave glider",2020,"Applied Ocean Research",104,"", 102369,,,,57,10.1016/j.apor.2020.102369,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85091339103&partnerID=40&md5=b79946ef506677f6f9723f2db95b34db",Article,Final,"",Scopus,2-s2.0-85091339103
"Jiang, D., Xu, M., Dong, M., Guo, F., Liu, X., Chen, G., Wang, Z.L.","57201936759; 57704493900; 55724050400; 57208833889; 56218511100; 14029621400; 56430045300","Water-solid triboelectric nanogenerators: An alternative means for harvesting hydropower",2019,"Renewable and Sustainable Energy Reviews",115,"", 109366,,,,57,10.1016/j.rser.2019.109366,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85071756997&partnerID=40&md5=fcbd60f1e02d959c76253124dd06a41c",Review,Final,"",Scopus,2-s2.0-85071756997
"Oliveira-Pinto, S., Rosa-Santos, P., Taveira-Pinto, F.","57207696114; 14067888200; 56423223800","Electricity supply to offshore oil and gas platforms from renewable ocean wave energy: Overview and case study analysis",2019,"Energy Conversion and Management",186,"",,556,569,,57,10.1016/j.enconman.2019.02.050,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85062726983&partnerID=40&md5=19265899d84c2616fad04c4904c1c4cf",Article,Final,"",Scopus,2-s2.0-85062726983
"Zhang, X., Tian, X., Xiao, L., Li, X., Chen, L.","56349192700; 55265504600; 8604994200; 55718311000; 56272473700","Application of an adaptive bistable power capture mechanism to a point absorber wave energy converter",2018,"Applied Energy",228,"",,450,467,,57,10.1016/j.apenergy.2018.06.100,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85049120883&partnerID=40&md5=9391a9f5d034e28cdfcf9594f5a4bba2",Article,Final,"",Scopus,2-s2.0-85049120883
"Liu, Y., Li, Y., He, F., Wang, H.","57193709366; 55974880400; 57193708510; 57190185056","Comparison study of tidal stream and wave energy technology development between China and some Western Countries",2017,"Renewable and Sustainable Energy Reviews",76,"",,701,716,,57,10.1016/j.rser.2017.03.049,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85016040181&partnerID=40&md5=4a8885cd313c585ebcf6193f5863dad6",Review,Final,"",Scopus,2-s2.0-85016040181
"Elhanafi, A., Fleming, A., Macfarlane, G., Leong, Z.","57008301100; 54894398200; 14834108300; 56349242300","Numerical hydrodynamic analysis of an offshore stationary–floating oscillating water column–wave energy converter using CFD",2017,"International Journal of Naval Architecture and Ocean Engineering",9,"1",,77,99,,57,10.1016/j.ijnaoe.2016.08.002,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85011048682&partnerID=40&md5=c982a2271b87058f19d19a1ceed519a0",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85011048682
"Cuadra, L., Salcedo-Sanz, S., Nieto-Borge, J.C., Alexandre, E., Rodríguez, G.","6602769356; 12789591800; 55663344400; 22978729400; 7203006681","Computational intelligence in wave energy: Comprehensive review and case study",2016,"Renewable and Sustainable Energy Reviews",58,"",,1223,1246,,57,10.1016/j.rser.2015.12.253,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84954286170&partnerID=40&md5=222d96c817302a967a15b25ea96dd8d6",Review,Final,"",Scopus,2-s2.0-84954286170
"Shi, H., Cao, F., Liu, Z., Qu, N.","15023660400; 56479913000; 56349270600; 56800218100","Theoretical study on the power take-off estimation of heaving buoy wave energy converter",2016,"Renewable Energy",86,"",,441,448,,57,10.1016/j.renene.2015.08.027,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84940062819&partnerID=40&md5=f0d72b3b02d2253cd1a602c962fbb88b",Article,Final,"",Scopus,2-s2.0-84940062819
"Castro-Santos, L., Martins, E., Guedes Soares, C.","57200311185; 57002493500; 56978160800","Methodology to calculate the costs of a floating offshore renewable energy farm",2016,"Energies",9,"5",,,,,57,10.3390/en9050324,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84968764304&partnerID=40&md5=ad8eafe896c7e3b917924c0b3e0e0565",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-84968764304
"Monteforte, M., Lo Re, C., Ferreri, G.B.","56490692600; 57205642826; 7004089798","Wave energy assessment in Sicily (Italy)",2015,"Renewable Energy",78,"",,276,287,,57,10.1016/j.renene.2015.01.006,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84921456851&partnerID=40&md5=dd07056febd263f1a68e422495480f73",Article,Final,"",Scopus,2-s2.0-84921456851
"Astariz, S., Abanades, J., Perez-Collazo, C., Iglesias, G.","56458904700; 56071229500; 56401146800; 56261589800","Improving wind farm accessibility for operation &amp; maintenance through a co-located wave farm: Influence of layout and wave climate",2015,"Energy Conversion and Management",95,"",,229,241,,57,10.1016/j.enconman.2015.02.040,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84923826489&partnerID=40&md5=6970305b1415660438eecb4f9615d52e",Article,Final,"",Scopus,2-s2.0-84923826489
"López, I., Castro, A., Iglesias, G.","23005118500; 24170713300; 56261589800","Hydrodynamic performance of an oscillating water column wave energy converter by means of particle imaging velocimetry",2015,"Energy",83,"",,89,103,,57,10.1016/j.energy.2015.01.119,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84926418882&partnerID=40&md5=8241c174bd28b7986267b3d4eeb5134b",Article,Final,"",Scopus,2-s2.0-84926418882
