Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Falcão, A.F.d.O.","23485073200","Wave energy utilization: A review of the technologies",2010,"Renewable and Sustainable Energy Reviews",14,"3",,899,918,,2044,10.1016/j.rser.2009.11.003,"https://www.scopus.com/inward/record.url?eid=2-s2.0-74449090123&partnerID=40&md5=01aafddeeb47b857462abca030fd36a1",Review,Final,"",Scopus,2-s2.0-74449090123
"Drew, B., Plummer, A.R., Sahinkaya, M.N.","21741841800; 8251308600; 7003693882","A review of wave energy converter technology",2009,"Proceedings of the Institution of Mechanical Engineers, Part A: Journal of Power and Energy",223,"8",,887,902,,872,10.1243/09576509JPE782,"https://www.scopus.com/inward/record.url?eid=2-s2.0-72649099635&partnerID=40&md5=2b3339223fd08925b2608c3fd1d4a1a8",Review,Final,"",Scopus,2-s2.0-72649099635
"Clément, A., McCullen, P., Falcão, A., Fiorentino, A., Gardner, F., Hammarlund, K., Lemonis, G., Lewis, T., Nielsen, K., Petroncini, S., Pontes, M.-T., Schild, P., Sjöström, B.-O., Sørensen, H.C., Thorpe, T.","7102139422; 7801592936; 23485073200; 44361821900; 7103300080; 7003612778; 6602311164; 16219467700; 23566831900; 6508168227; 55911279700; 57209283934; 7006179752; 7201376624; 7005074994","Wave energy in Europe: Current status and perspectives",2002,"Renewable and Sustainable Energy Reviews",6,"5",,405,431,,840,10.1016/S1364-0321(02)00009-6,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0036776314&partnerID=40&md5=a1925474155fbedc0c7b02307ee8f03c",Review,Final,"",Scopus,2-s2.0-0036776314
"Falnes, J.","7004261660","A review of wave-energy extraction",2007,"Marine Structures",20,"4",,185,201,,812,10.1016/j.marstruc.2007.09.001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-36349023758&partnerID=40&md5=ec662a09308b1a34753ced0e4bdf81c2",Review,Final,"",Scopus,2-s2.0-36349023758
"Wang, Z.L., Jiang, T., Xu, L.","56430045300; 56587265900; 57026618200","Toward the blue energy dream by triboelectric nanogenerator networks",2017,"Nano Energy",39,"",,9,23,,734,10.1016/j.nanoen.2017.06.035,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85021305452&partnerID=40&md5=3e1a82059ff036342485f6d366deaae7",Review,Final,"",Scopus,2-s2.0-85021305452
"Falcão, A.F.O., Henriques, J.C.C.","23485073200; 36173947400","Oscillating-water-column wave energy converters and air turbines: A review",2016,"Renewable Energy",85,"",,1391,1424,,598,10.1016/j.renene.2015.07.086,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84944441314&partnerID=40&md5=6b70cd8836957de04297aef31d7a80f6",Review,Final,"",Scopus,2-s2.0-84944441314
"Babarit, A., Hals, J., Muliawan, M.J., Kurniawan, A., Moan, T., Krokstad, J.","6505871520; 22834280400; 53867068100; 56235289300; 7005800085; 6602425587","Numerical benchmarking study of a selection of wave energy converters",2012,"Renewable Energy",41,"",,44,63,,560,10.1016/j.renene.2011.10.002,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84155172206&partnerID=40&md5=13931ac513b875366278a438ca8622bb",Article,Final,"All Open Access, Green",Scopus,2-s2.0-84155172206
"López, I., Andreu, J., Ceballos, S., Martínez De Alegría, I., Kortabarria, I.","55768165500; 9334203300; 19640066400; 57203977268; 16239344200","Review of wave energy technologies and the necessary power-equipment",2013,"Renewable and Sustainable Energy Reviews",27,"",,413,434,,540,10.1016/j.rser.2013.07.009,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84881186824&partnerID=40&md5=aed5d6a48782518088678f1437cad365",Review,Final,"",Scopus,2-s2.0-84881186824
"Gunn, K., Stock-Williams, C.","35191724800; 54998017800","Quantifying the global wave power resource",2012,"Renewable Energy",44,"",,296,304,,438,10.1016/j.renene.2012.01.101,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84858292283&partnerID=40&md5=59a9b481b8c75aef6aa1fd23d6d1288e",Article,Final,"",Scopus,2-s2.0-84858292283
"Pérez-Collazo, C., Greaves, D., Iglesias, G.","56401146800; 7102627638; 56261589800","A review of combined wave and offshore wind energy",2015,"Renewable and Sustainable Energy Reviews",42,"",,141,153,,408,10.1016/j.rser.2014.09.032,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84908459539&partnerID=40&md5=11429e170d3c8a4aa1bd0d2195d539dc",Review,Final,"All Open Access, Green",Scopus,2-s2.0-84908459539
"Hussain, A., Arif, S.M., Aslam, M.","56402477800; 57132359800; 54415401200","Emerging renewable and sustainable energy technologies: State of the art",2017,"Renewable and Sustainable Energy Reviews",71,"",,12,28,,339,10.1016/j.rser.2016.12.033,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85008646194&partnerID=40&md5=1ea408e8faadc8d257e32e0a167182ac",Review,Final,"",Scopus,2-s2.0-85008646194
"Wang, X., Niu, S., Yin, Y., Yi, F., You, Z., Wang, Z.L.","56998852200; 55253047900; 55577473800; 55325468800; 7102207846; 56430045300","Triboelectric Nanogenerator Based on Fully Enclosed Rolling Spherical Structure for Harvesting Low-Frequency Water Wave Energy",2015,"Advanced Energy Materials",5,"24", 1501467,,,,333,10.1002/aenm.201501467,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84951827631&partnerID=40&md5=2dffac57763dcc5e64eac4d003e7462a",Article,Final,"",Scopus,2-s2.0-84951827631
"Astariz, S., Iglesias, G.","56458904700; 56261589800","The economics of wave energy: A review",2015,"Renewable and Sustainable Energy Reviews",45,"",,397,408,,319,10.1016/j.rser.2015.01.061,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84922783805&partnerID=40&md5=5da62d3884f62742c8dda4a72af337ec",Review,Final,"",Scopus,2-s2.0-84922783805
"Taghipour, R., Perez, T., Moan, T.","23029582100; 7103235603; 7005800085","Hybrid frequency-time domain models for dynamic response analysis of marine structures",2008,"Ocean Engineering",35,"7",,685,705,,305,10.1016/j.oceaneng.2007.11.002,"https://www.scopus.com/inward/record.url?eid=2-s2.0-41549166916&partnerID=40&md5=9c067a629b846c9fb922e090eb7017da",Article,Final,"",Scopus,2-s2.0-41549166916
"Polinder, H., Damen, M.E.C., Gardner, F.","6603815497; 7003323906; 7103300080","Linear PM generator system for wave energy conversion in the AWS",2004,"IEEE Transactions on Energy Conversion",19,"3",,583,589,,305,10.1109/TEC.2004.827717,"https://www.scopus.com/inward/record.url?eid=2-s2.0-4544255361&partnerID=40&md5=466eb49ba8f8e6a82cd1afb42ac39020",Article,Final,"",Scopus,2-s2.0-4544255361
"Bahaj, A.S.","7003656285","Generating electricity from the oceans",2011,"Renewable and Sustainable Energy Reviews",15,"7",,3399,3416,,304,10.1016/j.rser.2011.04.032,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79958107479&partnerID=40&md5=146ff601c6035467401a0f41cf2215e0",Review,Final,"",Scopus,2-s2.0-79958107479
"Babarit, A., Clément, A.H.","6505871520; 7102139422","Optimal latching control of a wave energy device in regular and irregular waves",2006,"Applied Ocean Research",28,"2",,77,91,,294,10.1016/j.apor.2006.05.002,"https://www.scopus.com/inward/record.url?eid=2-s2.0-33750316198&partnerID=40&md5=a125631cfd43ce095c5ca525fcec5a0c",Article,Final,"",Scopus,2-s2.0-33750316198
"Mustapa, M.A., Yaakob, O.B., Ahmed, Y.M., Rheem, C.-K., Koh, K.K., Adnan, F.A.","57194261919; 57193419356; 7007084757; 6603568673; 24471905800; 20435592900","Wave energy device and breakwater integration: A review",2017,"Renewable and Sustainable Energy Reviews",77,"",,43,58,,274,10.1016/j.rser.2017.03.110,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85017117475&partnerID=40&md5=f6d3e975729bfa012caad0f2b1e1f6ae",Review,Final,"",Scopus,2-s2.0-85017117475
"Correction Ji, B., Luo, X., Arndt, R.E.A., Wu, Y.","16835106600; 7402870974; 35359437000; 55557982600","Numerical simulation of three dimensional cavitation shedding dynamics with special emphasis on cavitation-vortex interaction",2014,"Ocean Engineering",87,"",,64,77,,273,10.1016/j.oceaneng.2014.05.005,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84925287394&partnerID=40&md5=dba6d64e1d585fbe4271c618cc4984ce",Article,Final,"",Scopus,2-s2.0-84925287394
"Khan, N., Kalair, A., Abas, N., Haider, A.","7401797554; 56497956100; 56429444900; 7005697419","Review of ocean tidal, wave and thermal energy technologies",2017,"Renewable and Sustainable Energy Reviews",72,"",,590,604,,261,10.1016/j.rser.2017.01.079,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85010006252&partnerID=40&md5=592469e5d20e4cc041974515f3a30c06",Review,Final,"",Scopus,2-s2.0-85010006252
"Hals, J., Falnes, J., Moan, T.","22834280400; 7004261660; 7005800085","A comparison of selected strategies for adaptive control of wave energy converters",2011,"Journal of Offshore Mechanics and Arctic Engineering",133,"3", 031101,,,,256,10.1115/1.4002735,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79953101055&partnerID=40&md5=4191ac4d7b6ec77dd050b2a1ba555735",Article,Final,"",Scopus,2-s2.0-79953101055
"de O. Falcão, A.F.","7202402977","Modelling and control of oscillating-body wave energy converters with hydraulic power take-off and gas accumulator",2007,"Ocean Engineering",34,"14-15",,2021,2032,,254,10.1016/j.oceaneng.2007.02.006,"https://www.scopus.com/inward/record.url?eid=2-s2.0-34447525098&partnerID=40&md5=0226828176871974d52fc7f6a5b70ebd",Article,Final,"",Scopus,2-s2.0-34447525098
"Su, Y., Wen, X., Zhu, G., Yang, J., Chen, J., Bai, P., Wu, Z., Jiang, Y., Lin Wang, Z.","55693603500; 55201617300; 56489177400; 56985263300; 57837247800; 55587830400; 7501414990; 16480668000; 56430045300","Hybrid triboelectric nanogenerator for harvesting water wave energy and as a self-powered distress signal emitter",2014,"Nano Energy",9,"",,186,195,,252,10.1016/j.nanoen.2014.07.006,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84907365170&partnerID=40&md5=ff3384f4904179fe30c06167769375d4",Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-84907365170
"Babarit, A.","6505871520","A database of capture width ratio of wave energy converters",2015,"Renewable Energy",80,"",,610,628,,248,10.1016/j.renene.2015.02.049,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84924582470&partnerID=40&md5=47f94bdaaa6903c7262f74b982e543b6",Article,Final,"All Open Access, Green",Scopus,2-s2.0-84924582470
"Polinder, H., Mecrow, B.C., Jack, A.G., Dickinson, P.G., Mueller, M.A.","6603815497; 7004027205; 7102822833; 7006444780; 7402452416","Conventional and TFPM linear generators for direct-drive wave energy conversion",2005,"IEEE Transactions on Energy Conversion",20,"2",,260,267,,245,10.1109/TEC.2005.845522,"https://www.scopus.com/inward/record.url?eid=2-s2.0-20544465182&partnerID=40&md5=8aed9538e7306818565979abeed23244",Article,Final,"All Open Access, Green",Scopus,2-s2.0-20544465182
"Magagna, D., Uihlein, A.","36154743400; 12796687400","Ocean energy development in Europe: Current status and future perspectives",2015,"International Journal of Marine Energy",11,"", 56,84,104,,241,10.1016/j.ijome.2015.05.001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84934993186&partnerID=40&md5=93a4e7d845dffd31eca7e8507fd4aa8b",Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-84934993186
"Arinaga, R.A., Cheung, K.F.","48461117400; 7402406603","Atlas of global wave energy from 10 years of reanalysis and hindcast data",2012,"Renewable Energy",39,"1",,49,64,,239,10.1016/j.renene.2011.06.039,"https://www.scopus.com/inward/record.url?eid=2-s2.0-80053249249&partnerID=40&md5=140a403d730f52c316c4087c6bdc5e85",Article,Final,"All Open Access, Green",Scopus,2-s2.0-80053249249
"Reguero, B.G., Losada, I.J., Méndez, F.J.","35199050100; 7004024018; 7101990242","A global wave power resource and its seasonal, interannual and long-term variability",2015,"Applied Energy",148,"",,366,380,,230,10.1016/j.apenergy.2015.03.114,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84926140319&partnerID=40&md5=dad7d41100585e7e5c1bc3b29e5dc66b",Article,Final,"",Scopus,2-s2.0-84926140319
"Xi, Y., Guo, H., Zi, Y., Li, X., Wang, J., Deng, J., Li, S., Hu, C., Cao, X., Wang, Z.L.","35235324800; 55938019600; 56529184400; 8241588400; 56033404300; 55005032800; 56580623500; 7404570467; 55082564100; 56430045300","Multifunctional TENG for Blue Energy Scavenging and Self-Powered Wind-Speed Sensor",2017,"Advanced Energy Materials",7,"12",,,,,228,10.1002/aenm.201602397,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85013391512&partnerID=40&md5=1a468b5dfa09cb62991ad7bacde68d36",Article,Final,"",Scopus,2-s2.0-85013391512
"Liberti, L., Carillo, A., Sannino, G.","35369018800; 16416791800; 57205984002","Wave energy resource assessment in the Mediterranean, the Italian perspective",2013,"Renewable Energy",50,"",,938,949,,217,10.1016/j.renene.2012.08.023,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84866169722&partnerID=40&md5=a2ee30bd3127a25e137e8dba6858851c",Article,Final,"",Scopus,2-s2.0-84866169722
"Cheng, P., Guo, H., Wen, Z., Zhang, C., Yin, X., Li, X., Liu, D., Song, W., Sun, X., Wang, J., Wang, Z.L.","57196328762; 55938019600; 55757787700; 57200443284; 57205062066; 57205060700; 57207385448; 56428313200; 15137600000; 56033404300; 56430045300","Largely enhanced triboelectric nanogenerator for efficient harvesting of water wave energy by soft contacted structure",2019,"Nano Energy",57,"",,432,439,,213,10.1016/j.nanoen.2018.12.054,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85059156549&partnerID=40&md5=1c1d246f3482b04095e08df0ac0451d3",Article,Final,"",Scopus,2-s2.0-85059156549
"Widén, J., Carpman, N., Castellucci, V., Lingfors, D., Olauson, J., Remouit, F., Bergkvist, M., Grabbe, M., Waters, R.","26424866400; 56419906200; 55425508500; 55788017000; 56281210500; 56481654500; 6603465953; 23088503700; 24734380900","Variability assessment and forecasting of renewables: A review for solar, wind, wave and tidal resources",2015,"Renewable and Sustainable Energy Reviews",44,"",,356,375,,212,10.1016/j.rser.2014.12.019,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84920973463&partnerID=40&md5=5c121c1212e61ff15d8e5230e2a6903b",Review,Final,"",Scopus,2-s2.0-84920973463
"Setoguchi, T., Takao, M.","7102564807; 25030738700","Current status of self rectifying air turbines for wave energy conversion",2006,"Energy Conversion and Management",47,"15-16",,2382,2396,,211,10.1016/j.enconman.2005.11.013,"https://www.scopus.com/inward/record.url?eid=2-s2.0-33646403719&partnerID=40&md5=1d19636aff42e8ce6c797cc59a6cd65d",Article,Final,"",Scopus,2-s2.0-33646403719
"Fusco, F., Ringwood, J.V.","58170631400; 6603725188","Short-term wave forecasting for real-time control of wave energy converters",2010,"IEEE Transactions on Sustainable Energy",1,"2", 5451110,99,106,,210,10.1109/TSTE.2010.2047414,"https://www.scopus.com/inward/record.url?eid=2-s2.0-77955676119&partnerID=40&md5=956798b108712759dd9a078ee81fe1ad",Article,Final,"All Open Access, Green",Scopus,2-s2.0-77955676119
"Rusu, L., Guedes Soares, C.","24067330300; 56978160800","Wave energy assessments in the Azores islands",2012,"Renewable Energy",45,"",,183,196,,209,10.1016/j.renene.2012.02.027,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84859563665&partnerID=40&md5=56bc0034245fbe512239735d21a9fbab",Article,Final,"",Scopus,2-s2.0-84859563665
"Vicinanza, D., Contestabile, P., Ferrante, V.","6507679469; 36772880900; 23027257300","Wave energy potential in the north-west of Sardinia (Italy)",2013,"Renewable Energy",50,"",,506,521,,208,10.1016/j.renene.2012.07.015,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84864933783&partnerID=40&md5=662e19341cafe7eebe50306ee4a7f9b5",Article,Final,"",Scopus,2-s2.0-84864933783
"Li, Y., Yu, Y.-H.","55974880400; 8651357200","A synthesis of numerical methods for modeling wave energy converter-point absorbers",2012,"Renewable and Sustainable Energy Reviews",16,"6",,4352,4364,,207,10.1016/j.rser.2011.11.008,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84861802080&partnerID=40&md5=6a99425daa224a062bc2248cd07c8f96",Review,Final,"",Scopus,2-s2.0-84861802080
"Melikoglu, M.","55342412100","Current status and future of ocean energy sources: A global review",2018,"Ocean Engineering",148,"",,563,573,,205,10.1016/j.oceaneng.2017.11.045,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85037367686&partnerID=40&md5=edcc78382d304d8291c770ba0188cbbc",Review,Final,"",Scopus,2-s2.0-85037367686
"Iglesias, G., López, M., Carballo, R., Castro, A., Fraguela, J.A., Frigaard, P.","56261589800; 7404123882; 35291563900; 24170713300; 36824461900; 57213185485","Wave energy potential in Galicia (NW Spain)",2009,"Renewable Energy",34,"11",,2323,2333,,205,10.1016/j.renene.2009.03.030,"https://www.scopus.com/inward/record.url?eid=2-s2.0-67149107423&partnerID=40&md5=26c347d15569e6e7d4b7fa881c853687",Article,Final,"",Scopus,2-s2.0-67149107423
"Falcão, A.F.d.O.","23485073200","Phase control through load control of oscillating-body wave energy converters with hydraulic PTO system",2008,"Ocean Engineering",35,"3-4",,358,366,,205,10.1016/j.oceaneng.2007.10.005,"https://www.scopus.com/inward/record.url?eid=2-s2.0-38849184285&partnerID=40&md5=b3f83a4ba7be24b79e35afe4b5bf8d75",Article,Final,"",Scopus,2-s2.0-38849184285
"Leijon, M., Bernhoff, H., Ågren, O., Isberg, J., Sundberg, J., Berg, M., Karlsson, K.E., Wolfbrandt, A.","7006634809; 6602848522; 10439542800; 6602117338; 35895109400; 57197879647; 55182944500; 15733167200","Multiphysics simulation of wave energy to electric energy conversion by permanent magnet linear generator",2005,"IEEE Transactions on Energy Conversion",20,"1",,219,224,,203,10.1109/TEC.2004.827709,"https://www.scopus.com/inward/record.url?eid=2-s2.0-15044342336&partnerID=40&md5=c0e1f145e5d8b8a373701b3ed5b11081",Article,Final,"",Scopus,2-s2.0-15044342336
"He, F., Huang, Z., Law, A.W.K.","57125336600; 35737161900; 7102019948","An experimental study of a floating breakwater with asymmetric pneumatic chambers for wave energy extraction",2013,"Applied Energy",106,"",,222,231,,197,10.1016/j.apenergy.2013.01.013,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84874400519&partnerID=40&md5=0db9d7fd0286cfe40ff7e11d6b62be68",Article,Final,"",Scopus,2-s2.0-84874400519
"Halamay, D.A., Brekken, T.K.A., Simmons, A., McArthur, S.","36650587400; 16067825500; 36678125800; 36677586100","Reserve requirement impacts of large-scale integration of wind, solar, and ocean wave power generation",2011,"IEEE Transactions on Sustainable Energy",2,"3", 5713846,321,328,,197,10.1109/TSTE.2011.2114902,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79959568063&partnerID=40&md5=034355f4761eba2bf819f08c3fe5a385",Article,Final,"",Scopus,2-s2.0-79959568063
"Silva, D., Rusu, E., Soares, C.G.","55656317600; 24450974700; 56978160800","Evaluation of various technologies for wave energy conversion in the portuguese nearshore",2013,"Energies",6,"3",,1344,1364,,196,10.3390/en6031344,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84876430754&partnerID=40&md5=268fcc248de7444a5f4c54e24a6ef1f9",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-84876430754
"Liang, X., Jiang, T., Liu, G., Feng, Y., Zhang, C., Wang, Z.L.","57203252120; 56587265900; 56612463700; 57195549910; 56136402100; 56430045300","Spherical triboelectric nanogenerator integrated with power management module for harvesting multidirectional water wave energy",2020,"Energy and Environmental Science",13,"1",,277,285,,193,10.1039/c9ee03258d,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85078525441&partnerID=40&md5=46c14dcb57b58f838ecc508e97652a4d",Article,Final,"",Scopus,2-s2.0-85078525441
"Tao, K., Yi, H., Yang, Y., Chang, H., Wu, J., Tang, L., Yang, Z., Wang, N., Hu, L., Fu, Y., Miao, J., Yuan, W.","57200201289; 57205220381; 56432013300; 8657529000; 56093776600; 34873882100; 55901330000; 57075383900; 57054592600; 57206772686; 7102180286; 7201519471","Origami-inspired electret-based triboelectric generator for biomechanical and ocean wave energy harvesting",2020,"Nano Energy",67,"", 104197,,,,185,10.1016/j.nanoen.2019.104197,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85074350403&partnerID=40&md5=dbe8dc98db4a9ffec31c1939e73499e0",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85074350403
"Folley, M., Whittaker, T.J.T.","6507787438; 7006789487","Analysis of the nearshore wave energy resource",2009,"Renewable Energy",34,"7",,1709,1715,,184,10.1016/j.renene.2009.01.003,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60949091423&partnerID=40&md5=0371334e999a2844313126f39b4960c0",Article,Final,"",Scopus,2-s2.0-60949091423
"Ning, D.-Z., Wang, R.-Q., Zou, Q.-P., Teng, B.","7005820185; 57111008500; 7103094244; 7006839535","An experimental investigation of hydrodynamics of a fixed OWC Wave Energy Converter",2016,"Applied Energy",168,"",,636,648,,183,10.1016/j.apenergy.2016.01.107,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84957899936&partnerID=40&md5=8423cc618004c39ca0f6efac9fc0da9f",Article,Final,"",Scopus,2-s2.0-84957899936
"Zheng, C.-W., Pan, J., Li, J.-X.","55268383800; 56390503300; 42861722800","Assessing the China Sea wind energy and wave energy resources from 1988 to 2009",2013,"Ocean Engineering",65,"",,39,48,,182,10.1016/j.oceaneng.2013.03.006,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84876576043&partnerID=40&md5=ed8da71586412d70da052d876a21e274",Article,Final,"",Scopus,2-s2.0-84876576043
"López, I., Pereiras, B., Castro, F., Iglesias, G.","23005118500; 9838919800; 7101992081; 56261589800","Optimisation of turbine-induced damping for an OWC wave energy converter using a RANS-VOF numerical model",2014,"Applied Energy",127,"",,105,114,,181,10.1016/j.apenergy.2014.04.020,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84899811272&partnerID=40&md5=844030bfd4f2343fe84007f0ffc82cf7",Article,Final,"",Scopus,2-s2.0-84899811272
"Rusu, E., Guedes Soares, C.","24450974700; 56978160800","Numerical modelling to estimate the spatial distribution of the wave energy in the Portuguese nearshore",2009,"Renewable Energy",34,"6",,1501,1516,,180,10.1016/j.renene.2008.10.027,"https://www.scopus.com/inward/record.url?eid=2-s2.0-59049096485&partnerID=40&md5=fada03ce109de2c76ce31dbc802972c5",Article,Final,"",Scopus,2-s2.0-59049096485
"Hughes, M.G., Heap, A.D.","7402468299; 6602533746","National-scale wave energy resource assessment for Australia",2010,"Renewable Energy",35,"8",,1783,1791,,176,10.1016/j.renene.2009.11.001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-77949569772&partnerID=40&md5=6ebce509de941dec9f0b4fd50d9d88dc",Article,Final,"",Scopus,2-s2.0-77949569772
"Iglesias, G., Carballo, R.","56261589800; 35291563900","Wave energy potential along the Death Coast (Spain)",2009,"Energy",34,"11",,1963,1975,,175,10.1016/j.energy.2009.08.004,"https://www.scopus.com/inward/record.url?eid=2-s2.0-77949540576&partnerID=40&md5=7846b1a466e2e4add7b07f0baecbfc57",Article,Final,"",Scopus,2-s2.0-77949540576
"Aderinto, T., Li, H.","57200337670; 54948361200","Ocean Wave energy converters: Status and challenges",2018,"Energies",11,"5", en11051250,,,,174,10.3390/en11051250,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85051128110&partnerID=40&md5=d036456d44867c5e1d5812b4c60a54ae",Review,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85051128110
"Babarit, A., Guglielmi, M., Clément, A.H.","6505871520; 7101878827; 7102139422","Declutching control of a wave energy converter",2009,"Ocean Engineering",36,"12-13",,1015,1024,,173,10.1016/j.oceaneng.2009.05.006,"https://www.scopus.com/inward/record.url?eid=2-s2.0-68749089546&partnerID=40&md5=908bd6e83bd98d6b95d23f9acd6a66c7",Article,Final,"All Open Access, Green",Scopus,2-s2.0-68749089546
"Babarit, A., Duclos, G., Clément, A.H.","6505871520; 6603445748; 7102139422","Comparison of latching control strategies for a heaving wave energy device in random sea",2004,"Applied Ocean Research",26,"5",,227,238,,172,10.1016/j.apor.2005.05.003,"https://www.scopus.com/inward/record.url?eid=2-s2.0-24144469825&partnerID=40&md5=d2a4edbc56356c8df7310ed15d364101",Article,Final,"All Open Access, Green",Scopus,2-s2.0-24144469825
"Falnes, J.","7004261660","Optimum control of oscillation of wave-energy converters",2002,"International Journal of Offshore and Polar Engineering",12,"2",,147,155,,170,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0036610326&partnerID=40&md5=5d2032d506c48c9260cf093b2c5f992c",Article,Final,"",Scopus,2-s2.0-0036610326
"Jawad, A.M., Nordin, R., Gharghan, S.K., Jawad, H.M., Ismail, M.","57195290010; 35079084800; 56278025400; 57195288870; 7401908770","Opportunities and challenges for near-field wireless power transfer: A review",2017,"Energies",10,"7", 1022,,,,168,10.3390/en10071022,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85034267130&partnerID=40&md5=602fc30ead98d977560b1b9193189154",Review,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85034267130
"Morris-Thomas, M.T., Irvin, R.J., Thiagarajan, K.P.","6507187309; 9244603100; 7004888457","An investigation into the hydrodynamic efficiency of an oscillating water column",2007,"Journal of Offshore Mechanics and Arctic Engineering",129,"4",,273,278,,168,10.1115/1.2426992,"https://www.scopus.com/inward/record.url?eid=2-s2.0-38149120665&partnerID=40&md5=e16696221b0c37a456ea60c1bf35e125",Article,Final,"",Scopus,2-s2.0-38149120665
"Zhang, S.L., Xu, M., Zhang, C., Wang, Y.-C., Zou, H., He, X., Wang, Z., Wang, Z.L.","57192007962; 57704493900; 55620425300; 56535804600; 57210516634; 56016765600; 57194237142; 56430045300","Rationally designed sea snake structure based triboelectric nanogenerators for effectively and efficiently harvesting ocean wave energy with minimized water screening effect",2018,"Nano Energy",48,"",,421,429,,163,10.1016/j.nanoen.2018.03.062,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85045080887&partnerID=40&md5=1b3d1325f9f123d1a133403e058851e1",Article,Final,"",Scopus,2-s2.0-85045080887
"Gomes, R.P.F., Henriques, J.C.C., Gato, L.M.C., Falcão, A.F.O.","26030969000; 36173947400; 7004360885; 23485073200","Hydrodynamic optimization of an axisymmetric floating oscillating water column for wave energy conversion",2012,"Renewable Energy",44,"",,328,339,,162,10.1016/j.renene.2012.01.105,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84858281943&partnerID=40&md5=eee7b9af975b183dab05f87b18de5bea",Article,Final,"",Scopus,2-s2.0-84858281943
"Dalton, G.J., Alcorn, R., Lewis, T.","15020250500; 6603808687; 16219467700","Case study feasibility analysis of the Pelamis wave energy convertor in Ireland, Portugal and North America",2010,"Renewable Energy",35,"2",,443,455,,162,10.1016/j.renene.2009.07.003,"https://www.scopus.com/inward/record.url?eid=2-s2.0-71549133704&partnerID=40&md5=3003dccd46a58014b976ec19e8bbf801",Article,Final,"",Scopus,2-s2.0-71549133704
"Jiang, T., Yao, Y., Xu, L., Zhang, L., Xiao, T., Wang, Z.L.","56587265900; 57189458202; 57026618200; 56049991700; 57192309611; 56430045300","Spring-assisted triboelectric nanogenerator for efficiently harvesting water wave energy",2017,"Nano Energy",31,"",,560,567,,160,10.1016/j.nanoen.2016.12.004,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85003856364&partnerID=40&md5=1c60527458ff2fecb1d6d804961f233e",Article,Final,"",Scopus,2-s2.0-85003856364
